range,vehicle_gallons,average_range,average_gallons
238,14.161475999999999,313.1668667466987,14.439580389328468
238,14.161475999999999,313.1668667466987,14.439580389328468
238,14.161475999999999,313.1668667466987,14.439580389328468
238,14.161475999999999,313.1668667466987,14.439580389328468
344,19.1041088,313.1668667466987,14.439580389328468
338,20.111676,313.1668667466987,14.439580389328468
307,18.267114,313.1668667466987,14.439580389328468
307,18.267114,313.1668667466987,14.439580389328468
344,19.1041088,313.1668667466987,14.439580389328468
338,20.111676,313.1668667466987,14.439580389328468
307,18.267114,313.1668667466987,14.439580389328468
307,18.267114,313.1668667466987,14.439580389328468
338,20.111676,313.1668667466987,14.439580389328468
307,18.267114,313.1668667466987,14.439580389328468
338,20.111676,313.1668667466987,14.439580389328468
307,18.267114,313.1668667466987,14.439580389328468
269,10.185660545454548,313.1668667466987,14.439580389328468
280,10.602174545454549,313.1668667466987,14.439580389328468
302,10.482269,313.1668667466987,14.439580389328468
298,11.283742909090911,313.1668667466987,14.439580389328468
320,11.107040000000001,313.1668667466987,14.439580389328468
279,11.067372000000002,313.1668667466987,14.439580389328468
273,11.370832200000002,313.1668667466987,14.439580389328468
280,8.971070769230769,313.1668667466987,14.439580389328468
269,10.185660545454548,313.1668667466987,14.439580389328468
269,10.185660545454548,313.1668667466987,14.439580389328468
248,10.329547200000002,313.1668667466987,14.439580389328468
264,9.561712695652176,313.1668667466987,14.439580389328468
312,12.376416000000003,313.1668667466987,14.439580389328468
353,12.252453500000001,313.1668667466987,14.439580389328468
283,10.715769272727275,313.1668667466987,14.439580389328468
269,10.670692000000003,313.1668667466987,14.439580389328468
302,10.482269,313.1668667466987,14.439580389328468
337,16.513555058823528,313.1668667466987,14.439580389328468
290,17.25558,313.1668667466987,14.439580389328468
307,15.983724750000002,313.1668667466987,14.439580389328468
347,16.058928666666667,313.1668667466987,14.439580389328468
347,16.058928666666667,313.1668667466987,14.439580389328468
337,16.513555058823528,313.1668667466987,14.439580389328468
290,17.25558,313.1668667466987,14.439580389328468
307,15.983724750000002,313.1668667466987,14.439580389328468
337,16.513555058823528,313.1668667466987,14.439580389328468
290,17.25558,313.1668667466987,14.439580389328468
286,15.883067200000001,313.1668667466987,14.439580389328468
337,16.513555058823528,313.1668667466987,14.439580389328468
290,17.25558,313.1668667466987,14.439580389328468
286,15.883067200000001,313.1668667466987,14.439580389328468
290,17.25558,313.1668667466987,14.439580389328468
280,11.662392000000002,313.1668667466987,14.439580389328468
280,11.662392000000002,313.1668667466987,14.439580389328468
280,11.662392000000002,313.1668667466987,14.439580389328468
307,15.983724750000002,313.1668667466987,14.439580389328468
383,19.94060775,313.1668667466987,14.439580389328468
320,10.252652307692307,313.1668667466987,14.439580389328468
294,12.245511600000002,313.1668667466987,14.439580389328468
329,16.12154188235294,313.1668667466987,14.439580389328468
413,20.237680235294118,313.1668667466987,14.439580389328468
413,20.237680235294118,313.1668667466987,14.439580389328468
346,15.169878315789473,313.1668667466987,14.439580389328468
287,11.953951800000002,313.1668667466987,14.439580389328468
282,11.186376000000003,313.1668667466987,14.439580389328468
320,10.252652307692307,313.1668667466987,14.439580389328468
294,12.245511600000002,313.1668667466987,14.439580389328468
329,16.12154188235294,313.1668667466987,14.439580389328468
307,15.983724750000002,313.1668667466987,14.439580389328468
413,20.237680235294118,313.1668667466987,14.439580389328468
383,19.94060775,313.1668667466987,14.439580389328468
346,15.169878315789473,313.1668667466987,14.439580389328468
304,16.8827008,313.1668667466987,14.439580389328468
318,11.517517565217393,313.1668667466987,14.439580389328468
295,12.933855789473684,313.1668667466987,14.439580389328468
413,20.237680235294118,313.1668667466987,14.439580389328468
329,16.12154188235294,313.1668667466987,14.439580389328468
413,20.237680235294118,313.1668667466987,14.439580389328468
346,15.169878315789473,313.1668667466987,14.439580389328468
245,10.204593000000001,313.1668667466987,14.439580389328468
318,11.517517565217393,313.1668667466987,14.439580389328468
295,12.933855789473684,313.1668667466987,14.439580389328468
413,20.237680235294118,313.1668667466987,14.439580389328468
304,16.8827008,313.1668667466987,14.439580389328468
329,16.12154188235294,313.1668667466987,14.439580389328468
346,15.169878315789473,313.1668667466987,14.439580389328468
269,10.670692000000003,313.1668667466987,14.439580389328468
302,10.482269,313.1668667466987,14.439580389328468
295,12.933855789473684,313.1668667466987,14.439580389328468
295,13.652403333333334,313.1668667466987,14.439580389328468
345,14.369733000000002,313.1668667466987,14.439580389328468
318,11.517517565217393,313.1668667466987,14.439580389328468
298,11.283742909090911,313.1668667466987,14.439580389328468
325,11.771047826086958,313.1668667466987,14.439580389328468
304,12.059072000000002,313.1668667466987,14.439580389328468
325,11.771047826086958,313.1668667466987,14.439580389328468
304,12.059072000000002,313.1668667466987,14.439580389328468
288,14.994504000000001,313.1668667466987,14.439580389328468
288,14.994504000000001,313.1668667466987,14.439580389328468
294,16.3273488,313.1668667466987,14.439580389328468
277,19.229063,313.1668667466987,14.439580389328468
277,19.229063,313.1668667466987,14.439580389328468
278,19.298482,313.1668667466987,14.439580389328468
366,20.3258832,313.1668667466987,14.439580389328468
366,20.3258832,313.1668667466987,14.439580389328468
362,21.539724,313.1668667466987,14.439580389328468
329,19.576158,313.1668667466987,14.439580389328468
331,21.21017446153846,313.1668667466987,14.439580389328468
277,19.229063,313.1668667466987,14.439580389328468
277,19.229063,313.1668667466987,14.439580389328468
278,19.298482,313.1668667466987,14.439580389328468
308,19.73635569230769,313.1668667466987,14.439580389328468
308,19.73635569230769,313.1668667466987,14.439580389328468
277,17.749904307692308,313.1668667466987,14.439580389328468
