range,vehicle_KW,average_range,average_KW
62,18.599999999999998,219.82471264367817,75.61470195977012
56,30.240000000000002,219.82471264367817,75.61470195977012
56,30.240000000000002,219.82471264367817,75.61470195977012
73,24.82,219.82471264367817,75.61470195977012
88,40.480000000000004,219.82471264367817,75.61470195977012
76,24.32,219.82471264367817,75.61470195977012
265,100.7,219.82471264367817,75.61470195977012
76,24.32,219.82471264367817,75.61470195977012
82,23.779999999999998,219.82471264367817,75.61470195977012
68,21.76,219.82471264367817,75.61470195977012
68,21.76,219.82471264367817,75.61470195977012
38,10.64,219.82471264367817,75.61470195977012
103,45.32,219.82471264367817,75.61470195977012
88,40.480000000000004,219.82471264367817,75.61470195977012
62,18.599999999999998,219.82471264367817,75.61470195977012
208,72.8,219.82471264367817,75.61470195977012
265,100.7,219.82471264367817,75.61470195977012
122,65.88000000000001,219.82471264367817,75.61470195977012
87,25.229999999999997,219.82471264367817,75.61470195977012
103,45.32,219.82471264367817,75.61470195977012
75,21.75,219.82471264367817,75.61470195977012
139,50.04,219.82471264367817,75.61470195977012
82,22.96,219.82471264367817,75.61470195977012
82,23.779999999999998,219.82471264367817,75.61470195977012
76,24.32,219.82471264367817,75.61470195977012
87,25.229999999999997,219.82471264367817,75.61470195977012
68,21.76,219.82471264367817,75.61470195977012
68,21.76,219.82471264367817,75.61470195977012
103,45.32,219.82471264367817,75.61470195977012
84,25.2,219.82471264367817,75.61470195977012
265,100.7,219.82471264367817,75.61470195977012
208,72.8,219.82471264367817,75.61470195977012
127,68.58,219.82471264367817,75.61470195977012
127,68.58,219.82471264367817,75.61470195977012
62,18.599999999999998,219.82471264367817,75.61470195977012
84,24.882899999999996,219.82471264367817,75.61470195977012
82,23.242818,219.82471264367817,75.61470195977012
87,25.380771000000003,219.82471264367817,75.61470195977012
81,21.87,219.82471264367817,75.61470195977012
87,34.800000000000004,219.82471264367817,75.61470195977012
93,29.746608000000002,219.82471264367817,75.61470195977012
83,24.209688999999997,219.82471264367817,75.61470195977012
68,21.422856,219.82471264367817,75.61470195977012
68,21.422856,219.82471264367817,75.61470195977012
87,34.800000000000004,219.82471264367817,75.61470195977012
76,24.32,219.82471264367817,75.61470195977012
265,100.7,219.82471264367817,75.61470195977012
242,91.96000000000001,219.82471264367817,75.61470195977012
253,91.08,219.82471264367817,75.61470195977012
270,91.80000000000001,219.82471264367817,75.61470195977012
81,21.87,219.82471264367817,75.61470195977012
208,72.8,219.82471264367817,75.61470195977012
62,18.599999999999998,219.82471264367817,75.61470195977012
240,79.2,219.82471264367817,75.61470195977012
93,29.746608000000002,219.82471264367817,75.61470195977012
270,91.80000000000001,219.82471264367817,75.61470195977012
253,91.08,219.82471264367817,75.61470195977012
83,24.216495,219.82471264367817,75.61470195977012
68,21.422856,219.82471264367817,75.61470195977012
68,21.422856,219.82471264367817,75.61470195977012
76,24.32,219.82471264367817,75.61470195977012
257,95.09,219.82471264367817,75.61470195977012
250,95,219.82471264367817,75.61470195977012
82,23.242818,219.82471264367817,75.61470195977012
87,34.996794,219.82471264367817,75.61470195977012
84,24.905663999999998,219.82471264367817,75.61470195977012
107,32.081703000000005,219.82471264367817,75.61470195977012
84,25.180428,219.82471264367817,75.61470195977012
81,21.87,219.82471264367817,75.61470195977012
234,88.92,219.82471264367817,75.61470195977012
265,100.7,219.82471264367817,75.61470195977012
265,100.7,219.82471264367817,75.61470195977012
265,100.7,219.82471264367817,75.61470195977012
240,79.2,219.82471264367817,75.61470195977012
270,91.80000000000001,219.82471264367817,75.61470195977012
294,97.02000000000001,219.82471264367817,75.61470195977012
253,91.08,219.82471264367817,75.61470195977012
270,94.5,219.82471264367817,75.61470195977012
59,17.7,219.82471264367817,75.61470195977012
249,84.66000000000001,219.82471264367817,75.61470195977012
259,85.47,219.82471264367817,75.61470195977012
238,85.67999999999999,219.82471264367817,75.61470195977012
84,25.180428,219.82471264367817,75.61470195977012
187,87.89,219.82471264367817,75.61470195977012
81,21.87,219.82471264367817,75.61470195977012
114,33.059999999999995,219.82471264367817,75.61470195977012
87,34.996794,219.82471264367817,75.61470195977012
93,29.746608000000002,219.82471264367817,75.61470195977012
210,71.4,219.82471264367817,75.61470195977012
218,69.76,219.82471264367817,75.61470195977012
315,110.25,219.82471264367817,75.61470195977012
200,72,219.82471264367817,75.61470195977012
238,67.355666,219.82471264367817,75.61470195977012
107,32.087909,219.82471264367817,75.61470195977012
124,31,219.82471264367817,75.61470195977012
289,112.71000000000001,219.82471264367817,75.61470195977012
115,35.65,219.82471264367817,75.61470195977012
218,69.76,219.82471264367817,75.61470195977012
259,85.47,219.82471264367817,75.61470195977012
315,110.25,219.82471264367817,75.61470195977012
200,72,219.82471264367817,75.61470195977012
238,85.67999999999999,219.82471264367817,75.61470195977012
257,95.09,219.82471264367817,75.61470195977012
250,95,219.82471264367817,75.61470195977012
289,112.71000000000001,219.82471264367817,75.61470195977012
270,94.5,219.82471264367817,75.61470195977012
125,35.52325,219.82471264367817,75.61470195977012
210,71.4,219.82471264367817,75.61470195977012
249,84.66000000000001,219.82471264367817,75.61470195977012
294,94.08,219.82471264367817,75.61470195977012
187,87.89,219.82471264367817,75.61470195977012
335,110.55000000000001,219.82471264367817,75.61470195977012
89,26.7,219.82471264367817,75.61470195977012
58,17.98,219.82471264367817,75.61470195977012
111,34.660971,219.82471264367817,75.61470195977012
57,18.810000000000002,219.82471264367817,75.61470195977012
115,36.21396,219.82471264367817,75.61470195977012
124,31,219.82471264367817,75.61470195977012
310,83.1606,219.82471264367817,75.61470195977012
